Index,KAB_No,Type,C_per_T,Inductance,Py_Volts,Phase1,KVA1,Sy_Volts,Phase2,KVA2,Connections,Rating,Cooling,Th_Cl,KVA_average,Turns,V_per_T,HZ,No_of_Coils,Sections_per_coil,Turns_per_section,Sense_of_winding,Turns_per_layer,No_Of_Layers,Size_of_conductor,Insulation,No_Of_parall_conductors,Wt_of_cu_per_Al_conductor_in_Kg,Former,Coil_dia_inner,Coil_Dia_outer,Ht_of_section_axial,Depth_of_wtg_Radial,Inter_layer_insulation,Radial_spacing,Axial_spacing,Clearance_Bet_Sections,Yoke_clearance,Inter_connection_of_sections,Inter_connection_of_coils,Tappings,Connecting_wirers,Clearance_Bt_Ht_and_Lt,Clearance_in_window,Core,C_D,Ht,Grade,Percentage,Kg,Drg_No,Core_loss,Conductor_loss,Total_losses,Resistance,Ambiant,Windings,Oil,Ohms_at_C,Test_particulars,App_Py_E,App_Sy_E,Induced,Impulse,Specification,Clamp_No,Terminal_board_no,Assy_No,Date
1,KAB 2327,DC Filter,,2mH,80,single,,,,,,Cont,,F,,40+40=80,,300,2,one,40,L-R,20,2,7x3Cu,F/G covered,2 al,12.2,DRG.No:105 372-P26-2 Nos,59x117,91(95)x149(160),166(180),16,6 Mil Nomex,-,-,-,10,-,Series at Finish,-,Same conductor,-,20,50x80,115,200,41 CRGO,96,23,DPD 105 102 201-P26,,,,,50 DegreeC MAX,90 DegreeC MAX,,,,,,,,IS 5553,,,105 009 890 p14,28.10.2010
2,KAB 2568,CONVERTER FILTER,,1.8mH,15,single,,,,,,Cont,AN,F,,32,,50,one,one,32,L-R,8 1/2,4,13 SWG Cu,SE,2 ss,0.75,"Std bobbin suitable for Type -16, 2 1/2 ""stack-F/G-1 No",44x69,68x93,52,12,6 Mil Nomex,-,-,-,-,-,-,-,Same conductor,-,2,"Type-16,2 1/2"" stack",-,-,51 CRGO,96,4.1,Std,,,,,50 DegreeC MAX,90 DegreeC MAX,,,,,,,,IS 5553,DPD 205200 337x4,DPD 205 603 334X1,105 009 387 *,28.06.2012
3,KAB 2567,OUT PUT FILTER,,2.5mH,8,single,,,,,,Cont,AN,F,,37,,50,one,one,37,L-R,13,3,12 SWG Cu,SE,one,0.5,"Std bobbin suitable for Type -3, 2 1/2 ""stack-F/G-1 No",37x69,57x89,42,10,6 Mil Nomex,-,-,-,-,-,-,-,Same conductor,-,1,"Type-3, 2 1/2"" Stack",-,-,51 CRGO,96,3.2,Std,,,,,50 DegreeC MAX,90 DegreeC MAX,,,,,,,,IS 5553,DPD 205 200 334X4,DPD 205 603 335X1,105 009 374 *,27.06.2012
4,KAB 2566,INPUT FILTER,,2mH,3.5,single,,,,,,Cont,AN,F,,28,,50,one,one,28,L-R,14,2,15 SWG Cu,F/G covered,one,0.15,"Std bobbin suitable for Type-15,2"" stack-F/G-1 No",30x56,40x66,33,5,6 Mil Nomex,-,-,-,-,-,-,-,Same conductor,-,3,"Type-15,2"" stack",-,-,51 CRGO,96,1.4,Std,,,,,50 DegreeC MAX,90 DegreeC MAX,,,,,,,,IS 5553,DPD 205 200 336x4 ,DPD 205 603 339x1,105 009 384 *,27.06.2012
5,KAB 2565,INVERTER,,,170,single,,240,single,1,,Cont,AN,F,,230/325,,50,"one Py, one Sy","one,one","230,325","L-R,L-R","46,55","5,6","14 SWG Cu,16 SWG Cu","SE,SE","one,one","2.4,3","Std bobbin suitable for  Type-8,36""-F/G-1 No","56x82,85x111","84x110,115x141","110,110","14,15","6 Mil Nomex,6 Mil Nomex",-,-,-,-,-,-,-,"Same conductor,Same conductor",18 Mil Nomex,2,"Tye-8,3"" stack",-,-,51 CRGO,96,12,Std,15 W,55 W,,,50 DegreeC MAX,115 DegreeC MAX,,,,,,,,IS 11171,DPD 205 200 326x4,DPD 205 603 337x2,105 009 403,26.06.2012
6,KAB 2458,CONTROL,,,328,single,,200,single,0.5,,Cont,AN,H,,349/209,0.959,50,"one Py, one Sy","one,one","342,209","L-R,L-R","54,43","7,5","20 SWG Cu,18 SWG Cu","SE,SE","one,one","0.7,0.9","Std bobbin suitable for Type-43,2 1/2"" stack-F/G-1No","59x69,76x89","75x88,94x107","68,68","9.5,9","6 Mil class-'H'insulation,6Mil class-'H' insulation",-,-,-,-,-,-,-,"Same conductor,Same conductor",18 Mil class-'H' insulation,1,"Type-43,2 1/2"" stack",-,-,51 CRGO,96,7.125,Std,10 W,20 W,,,50 DegreeC MAX,115 DegreeC MAX,,,,,,,,IS 11171,205 200 335x4,205 603 338x2,105 009 378,22.12.2011
7,KAB 2457,CONTROL,,,240,single,,350,single,1.27,,Cont,AN,H,,201/293,1.194,50,"one Py, one Sy","one,one","201,293","L-R,L-R","48,62","5,5","15 SWG Cu,17 SWG Cu","SE,SE","one,one","1.8,2","Std bobbin suitable for Type-8,3""stack-F/G-1 No","56x82,83x109","82x108,103x129","110,110","13,10","6 Mil class-'H'insulation,6Mil class-'H' insulation",-,-,-,-,-,-,-,Same conductor,18 Mil class-'H' insulation,5,"Type-8,3"" stack",-,-,51 CRGO,96,12,Std,18 W,50 W,,,50 DegreeC MAX,115 DegreeC MAX,,,,,,,,IS 11171,205 200 326,205 603 337,DGA 105 009 403,21.12.2011
8,KAB 2444,D.C FILTER,,0.2mH,25,single,,,,,,Cont,AN,H,,9+9=18,,300,2,one,9,L-R,one,9,0.6x305 Cu foil,"Bare,Electrolytic,Annealed-Is 3052&Is 1897",2 ab,34,DRG.No:105 102 261-P12 -2 Nos,109x137,145(150)x173(205),325,18,6 Mil class-'H'insulation,-,-,-,9,-,Series at Finish,-,50x8 Cu busbar,-,20,100x100,170,343,41 CRGO,96,92,ED 2068 P-15,,,,,50 DegreeC MAX,115 DegreeC MAX,,,,,,,,IS 5553,,,105 009 940 P2,14.12.2011
9,KAB 2443,CHARGER,,,415,3 Ph  Delta,,0-17-34-52,3 Ph  Star,58.8,Dy 11,Cont,AN,H,,124/0-3-6-9,3.346,50,"3 Py, 3 Sy","one,one","124,9","L-R,L-R","31,9","4,one","7x3 Cu,12x4 Cu","F/G covered, F/G covered","one,2ss,3 ab (6 conductors)","41.5,64",DRG. No:105 102 413-P30-3 Nos,"109x152,169x212","143x186,199(205)x242(260)","256 (285),265 (285)","17,15","6 Mil class-'H'insulation,-",-,-,-,"10,10",-,"Delta, Star at Finish"," -,at 3& 6","Same conductor, 40x8 Cu busbar",13 thick F/G duct,20,100x115,225,305,41 CRGO,96,178,DPD 105 102 340-P31,225 W,1400 W,,,50 DegreeC MAX,115 DegreeC MAX,,,,,,,,IS 11171,,,105 009 920 P29,10.12.2011
10,KAB 2538,INPUT SERIES,,0.12mH,5,single,,,,,,Cont,AN,H,,8,,50,one,one,8,L-R,5,2,8x4 Cu,F/G covered,2 ss,2,"Std bobbin suitable for Type-8, 4"" stack-F/G-1 No",56x107,76x127,110,10,6 Mil class-'H' insulation,-,-,-,-,-,-,-,Same conductor,-,15,"Type-8,4"" stack",-,-,51 CRGO,96,16,Std,,,,,50 DegreeC MAX,115 DegreeC MAX,,,,,,,,IS 5553,DPD 205 200 326x4,DPD 205 603 337x1,105 009 402*,29.06.2012
