			DEBUG (Mon Dec 3 16:12:56 2012) : DataSearchConfig started
			DEBUG (Mon Dec 3 16:13:19 2012) : CSVimportDialog started
ERROR (Mon Dec 3 16:13:44 2012) : AddRecordToTable, insert rectord failed error ' '
ERROR (Mon Dec 3 16:15:05 2012) : record could not be added,error :' '
			DEBUG (Mon Dec 3 16:19:50 2012) : DataSearchConfig started
			DEBUG (Mon Dec 3 16:20:19 2012) : CSVimportDialog started
ERROR (Mon Dec 3 16:20:26 2012) : AddRecordToTable, submit all failed error '[MySQL][ODBC 5.2(w) Driver][mysqld-5.1.66-community]Incorrect string value: '\xB0C MAX' for column 'Ambiant' at row 1 QODBC3: Unable to execute statement'
ERROR (Mon Dec 3 16:20:31 2012) : AddRecordToTable, submit all failed error '[MySQL][ODBC 5.2(w) Driver][mysqld-5.1.66-community]Incorrect string value: '\xB0C MAX' for column 'Ambiant' at row 1 QODBC3: Unable to execute statement'
ERROR (Mon Dec 3 16:20:38 2012) : record could not be added,error :'[MySQL][ODBC 5.2(w) Driver][mysqld-5.1.66-community]Incorrect string value: '\xB0C MAX' for column 'Ambiant' at row 1 QODBC3: Unable to execute statement'
ERROR (Mon Dec 3 16:22:23 2012) : AddRecordToTable, submit all failed error '[MySQL][ODBC 5.2(w) Driver][mysqld-5.1.66-community]Duplicate entry '1' for key 'PRIMARY' QODBC3: Unable to execute statement'
ERROR (Mon Dec 3 16:22:28 2012) : record could not be added,error :'[MySQL][ODBC 5.2(w) Driver][mysqld-5.1.66-community]Duplicate entry '1' for key 'PRIMARY' QODBC3: Unable to execute statement'
ERROR (Mon Dec 3 16:23:21 2012) : AddRecordToTable, submit all failed error '[MySQL][ODBC 5.2(w) Driver][mysqld-5.1.66-community]Duplicate entry '1' for key 'PRIMARY' QODBC3: Unable to execute statement'
ERROR (Mon Dec 3 16:23:23 2012) : record could not be added,error :'[MySQL][ODBC 5.2(w) Driver][mysqld-5.1.66-community]Duplicate entry '1' for key 'PRIMARY' QODBC3: Unable to execute statement'
		INFO (Mon Dec 3 16:23:30 2012) : record added
			DEBUG (Mon Dec 3 16:27:20 2012) : DataSearchConfig started
			DEBUG (Mon Dec 3 16:27:37 2012) : CSVimportDialog started
ERROR (Mon Dec 3 16:27:47 2012) : AddRecordToTable, submit all failed error '[MySQL][ODBC 5.2(w) Driver][mysqld-5.1.66-community]Incorrect string value: '\xB0C MAX' for column 'Ambiant' at row 1 QODBC3: Unable to execute statement'
ERROR (Mon Dec 3 16:28:18 2012) : record could not be added,error :'[MySQL][ODBC 5.2(w) Driver][mysqld-5.1.66-community]Incorrect string value: '\xB0C MAX' for column 'Ambiant' at row 1 QODBC3: Unable to execute statement'
			DEBUG (Mon Dec 3 16:28:25 2012) : CSVimportDialog started
		INFO (Mon Dec 3 16:28:45 2012) : record added
ERROR (Mon Dec 3 16:28:49 2012) : AddRecordToTable, submit all failed error '[MySQL][ODBC 5.2(w) Driver][mysqld-5.1.66-community]Duplicate entry '1' for key 'PRIMARY' QODBC3: Unable to execute statement'
ERROR (Mon Dec 3 16:28:49 2012) : AddRecordToTable, submit all failed error '[MySQL][ODBC 5.2(w) Driver][mysqld-5.1.66-community]Incorrect string value: '\xB2 Cu C...' for column 'Connecting_wirers' at row 1 QODBC3: Unable to execute statement'
ERROR (Mon Dec 3 16:28:49 2012) : AddRecordToTable, submit all failed error '[MySQL][ODBC 5.2(w) Driver][mysqld-5.1.66-community]Incorrect string value: '\xB2 Cu c...' for column 'Connecting_wirers' at row 1 QODBC3: Unable to execute statement'
ERROR (Mon Dec 3 16:28:49 2012) : AddRecordToTable, submit all failed error '[MySQL][ODBC 5.2(w) Driver][mysqld-5.1.66-community]Incorrect string value: '\xB2 Cu c...' for column 'Connecting_wirers' at row 1 QODBC3: Unable to execute statement'
ERROR (Mon Dec 3 16:28:50 2012) : AddRecordToTable, submit all failed error '[MySQL][ODBC 5.2(w) Driver][mysqld-5.1.66-community]Incorrect string value: '\xB2 Cu. ...' for column 'Connecting_wirers' at row 1 QODBC3: Unable to execute statement'
ERROR (Mon Dec 3 16:28:50 2012) : AddRecordToTable, submit all failed error '[MySQL][ODBC 5.2(w) Driver][mysqld-5.1.66-community]Incorrect string value: '\xB2 Cu.c...' for column 'Connecting_wirers' at row 1 QODBC3: Unable to execute statement'
ERROR (Mon Dec 3 16:28:50 2012) : AddRecordToTable, submit all failed error '[MySQL][ODBC 5.2(w) Driver][mysqld-5.1.66-community]Incorrect string value: '\xB12.5%,...' for column 'Py_Volts' at row 1 QODBC3: Unable to execute statement'
ERROR (Mon Dec 3 16:28:50 2012) : AddRecordToTable, submit all failed error '[MySQL][ODBC 5.2(w) Driver][mysqld-5.1.66-community]Incorrect string value: '\xB2 Cu.c...' for column 'Connecting_wirers' at row 1 QODBC3: Unable to execute statement'
ERROR (Mon Dec 3 16:28:50 2012) : AddRecordToTable, submit all failed error '[MySQL][ODBC 5.2(w) Driver][mysqld-5.1.66-community]Incorrect string value: '\xB2 Cu.c...' for column 'Connecting_wirers' at row 1 QODBC3: Unable to execute statement'
ERROR (Mon Dec 3 16:28:50 2012) : AddRecordToTable, submit all failed error '[MySQL][ODBC 5.2(w) Driver][mysqld-5.1.66-community]Incorrect string value: '\xB2 Cu.c...' for column 'Connecting_wirers' at row 1 QODBC3: Unable to execute statement'
ERROR (Mon Dec 3 16:28:51 2012) : AddRecordToTable, submit all failed error '[MySQL][ODBC 5.2(w) Driver][mysqld-5.1.66-community]Incorrect string value: '\xB2 Cu. ...' for column 'Connecting_wirers' at row 1 QODBC3: Unable to execute statement'
ERROR (Mon Dec 3 16:28:51 2012) : AddRecordToTable, submit all failed error '[MySQL][ODBC 5.2(w) Driver][mysqld-5.1.66-community]Incorrect string value: '\xB2 Cu.c...' for column 'Connecting_wirers' at row 1 QODBC3: Unable to execute statement'
ERROR (Mon Dec 3 16:28:51 2012) : AddRecordToTable, submit all failed error '[MySQL][ODBC 5.2(w) Driver][mysqld-5.1.66-community]Incorrect string value: '\xB2 Cu.c...' for column 'Connecting_wirers' at row 1 QODBC3: Unable to execute statement'
ERROR (Mon Dec 3 16:28:51 2012) : AddRecordToTable, submit all failed error '[MySQL][ODBC 5.2(w) Driver][mysqld-5.1.66-community]Incorrect string value: '\xB2 Cu. ...' for column 'Connecting_wirers' at row 1 QODBC3: Unable to execute statement'
ERROR (Mon Dec 3 16:28:51 2012) : AddRecordToTable, submit all failed error '[MySQL][ODBC 5.2(w) Driver][mysqld-5.1.66-community]Incorrect string value: '\xB2 Cu.c...' for column 'Connecting_wirers' at row 1 QODBC3: Unable to execute statement'
ERROR (Mon Dec 3 16:28:51 2012) : AddRecordToTable, submit all failed error '[MySQL][ODBC 5.2(w) Driver][mysqld-5.1.66-community]Incorrect string value: '\xB2 Cu.c...' for column 'Connecting_wirers' at row 1 QODBC3: Unable to execute statement'
ERROR (Mon Dec 3 16:28:51 2012) : AddRecordToTable, submit all failed error '[MySQL][ODBC 5.2(w) Driver][mysqld-5.1.66-community]Incorrect string value: '\xB2 Cu.c...' for column 'Connecting_wirers' at row 1 QODBC3: Unable to execute statement'
ERROR (Mon Dec 3 16:28:51 2012) : AddRecordToTable, submit all failed error '[MySQL][ODBC 5.2(w) Driver][mysqld-5.1.66-community]Incorrect string value: '\xB5H' for column 'Inductance' at row 1 QODBC3: Unable to execute statement'
ERROR (Mon Dec 3 16:28:51 2012) : AddRecordToTable, submit all failed error '[MySQL][ODBC 5.2(w) Driver][mysqld-5.1.66-community]Incorrect string value: '\xB2 cu. ...' for column 'Connecting_wirers' at row 1 QODBC3: Unable to execute statement'
ERROR (Mon Dec 3 16:28:51 2012) : AddRecordToTable, submit all failed error '[MySQL][ODBC 5.2(w) Driver][mysqld-5.1.66-community]Incorrect string value: '\xB2 cu. ...' for column 'Connecting_wirers' at row 1 QODBC3: Unable to execute statement'
ERROR (Mon Dec 3 16:28:52 2012) : AddRecordToTable, submit all failed error '[MySQL][ODBC 5.2(w) Driver][mysqld-5.1.66-community]Incorrect string value: '\xB2 Cu.c...' for column 'Connecting_wirers' at row 1 QODBC3: Unable to execute statement'
ERROR (Mon Dec 3 16:28:52 2012) : AddRecordToTable, submit all failed error '[MySQL][ODBC 5.2(w) Driver][mysqld-5.1.66-community]Incorrect string value: '\xB2 Cu.c...' for column 'Connecting_wirers' at row 1 QODBC3: Unable to execute statement'
ERROR (Mon Dec 3 16:28:52 2012) : AddRecordToTable, submit all failed error '[MySQL][ODBC 5.2(w) Driver][mysqld-5.1.66-community]Incorrect string value: '\xB2 Cu.c...' for column 'Connecting_wirers' at row 1 QODBC3: Unable to execute statement'
ERROR (Mon Dec 3 16:28:52 2012) : AddRecordToTable, submit all failed error '[MySQL][ODBC 5.2(w) Driver][mysqld-5.1.66-community]Incorrect string value: '\xB2 Cu.c...' for column 'Connecting_wirers' at row 1 QODBC3: Unable to execute statement'
